symbol,status,relative_points,note
GALLANTT,skipped,92,analysis: unchanged; comparison: unchanged
GESHIP,skipped,58,analysis: unchanged; comparison: unchanged
GHCL,skipped,3,analysis: unchanged; comparison: unchanged
GICRE,skipped,70,analysis: unchanged; comparison: unchanged
GILLETTE,skipped,35,analysis: unchanged; comparison: unchanged
GLAND,skipped,47,analysis: unchanged; comparison: unchanged
GLAXO,skipped,50,analysis: unchanged; comparison: unchanged
GLENMARK,skipped,69,analysis: unchanged; comparison: unchanged
GMDCLTD,skipped,55,analysis: unchanged; comparison: unchanged
GMMPFAUDLR,skipped,41,analysis: unchanged; comparison: unchanged
GMRAIRPORT,skipped,97,analysis: unchanged; comparison: unchanged
GNFC,skipped,34,analysis: unchanged; comparison: unchanged
GODFRYPHLP,skipped,94,analysis: unchanged; comparison: unchanged
GODIGIT,skipped,90,analysis: unchanged; comparison: unchanged
GODREJAGRO,skipped,47,analysis: unchanged; comparison: unchanged
GODREJCP,skipped,17,analysis: unchanged; comparison: unchanged
GODREJIND,skipped,65,analysis: unchanged; comparison: unchanged
GODREJPROP,skipped,58,analysis: unchanged; comparison: unchanged
GOKEX,skipped,50,analysis: unchanged; comparison: unchanged
GOKULAGRO,skipped,100,analysis: unchanged; comparison: unchanged
GPIL,skipped,43,analysis: unchanged; comparison: unchanged
GPPL,skipped,41,analysis: unchanged; comparison: unchanged
GRANULES,skipped,62,analysis: unchanged; comparison: unchanged
GRAPHITE,skipped,32,analysis: unchanged; comparison: unchanged
GRASIM,skipped,60,analysis: unchanged; comparison: unchanged
GRAVITA,skipped,85,analysis: unchanged; comparison: unchanged
GREAVESCOT,skipped,50,analysis: unchanged; comparison: unchanged
GROWW,skipped,75,analysis: unchanged; comparison: unchanged
GRSE,skipped,95,analysis: unchanged; comparison: unchanged
GRWRHITECH,skipped,72,analysis: unchanged; comparison: unchanged
GSFC,skipped,16,analysis: unchanged; comparison: unchanged
HAL,skipped,68,analysis: unchanged; comparison: unchanged
HAPPSTMNDS,skipped,38,analysis: unchanged; comparison: unchanged
HAVELLS,skipped,33,analysis: unchanged; comparison: unchanged
HBLENGINE,skipped,100,analysis: unchanged; comparison: unchanged
HCC,skipped,45,analysis: unchanged; comparison: unchanged
HCG,skipped,71,analysis: unchanged; comparison: unchanged
HCLTECH,skipped,31,analysis: unchanged; comparison: unchanged
HDBFS,skipped,25,analysis: unchanged; comparison: unchanged
HDFCAMC,skipped,79,analysis: unchanged; comparison: unchanged
HDFCBANK,skipped,36,analysis: unchanged; comparison: unchanged
HDFCLIFE,skipped,30,analysis: unchanged; comparison: unchanged
HEG,skipped,70,analysis: unchanged; comparison: unchanged
HEMIPROP,skipped,62,analysis: unchanged; comparison: unchanged
HERITGFOOD,skipped,31,analysis: unchanged; comparison: unchanged
HEROMOTOCO,skipped,52,analysis: unchanged; comparison: unchanged
HEXT,skipped,50,analysis: unchanged; comparison: unchanged
HFCL,skipped,46,analysis: unchanged; comparison: unchanged
HGINFRA,skipped,44,analysis: unchanged; comparison: unchanged
HINDALCO,skipped,75,analysis: unchanged; comparison: unchanged
HINDCOPPER,skipped,100,analysis: unchanged; comparison: unchanged
HINDPETRO,skipped,70,analysis: unchanged; comparison: unchanged
HINDUNILVR,skipped,29,analysis: unchanged; comparison: unchanged
HINDZINC,skipped,55,analysis: unchanged; comparison: unchanged
HOMEFIRST,skipped,86,analysis: unchanged; comparison: unchanged
HONASA,skipped,100,analysis: unchanged; comparison: unchanged
HONAUT,skipped,38,analysis: unchanged; comparison: unchanged
HSCL,skipped,91,analysis: unchanged; comparison: unchanged
HUDCO,skipped,64,analysis: unchanged; comparison: unchanged
HYUNDAI,skipped,39,analysis: unchanged; comparison: unchanged
ICICIAMC,skipped,75,analysis: unchanged; comparison: unchanged
ICICIBANK,skipped,65,analysis: unchanged; comparison: unchanged
ICICIGI,skipped,57,analysis: unchanged; comparison: unchanged
ICICIPRULI,skipped,31,analysis: unchanged; comparison: unchanged
ICIL,skipped,0,analysis: unchanged; comparison: unchanged
IDBI,skipped,58,analysis: unchanged; comparison: unchanged
IDEA,skipped,42,analysis: unchanged; comparison: unchanged
IDFCFIRSTB,skipped,20,analysis: unchanged; comparison: unchanged
IEX,skipped,39,analysis: unchanged; comparison: unchanged
IFBIND,skipped,62,analysis: unchanged; comparison: unchanged
IFCI,skipped,50,analysis: unchanged; comparison: unchanged
IGIL,skipped,58,analysis: unchanged; comparison: unchanged
IGL,skipped,15,analysis: unchanged; comparison: unchanged
IIFL,skipped,58,analysis: unchanged; comparison: unchanged
IIFLCAPS,skipped,54,analysis: unchanged; comparison: unchanged
IKS,skipped,89,analysis: unchanged; comparison: unchanged
IMFA,skipped,57,analysis: unchanged; comparison: unchanged
INDGN,skipped,61,analysis: unchanged; comparison: unchanged
INDHOTEL,skipped,81,analysis: unchanged; comparison: unchanged
INDIACEM,skipped,75,analysis: unchanged; comparison: unchanged
INDIAGLYCO,skipped,82,analysis: unchanged; comparison: unchanged
INDIAMART,skipped,31,analysis: unchanged; comparison: unchanged
INDIANB,skipped,92,analysis: unchanged; comparison: unchanged
INDIASHLTR,skipped,96,analysis: unchanged; comparison: unchanged
INDIGO,skipped,69,analysis: unchanged; comparison: unchanged
INDIGOPNTS,skipped,44,analysis: unchanged; comparison: unchanged
INDUSINDBK,skipped,8,analysis: unchanged; comparison: unchanged
