date,symbol,event
2015-11-27,RPGLIFE,"fresh signal NOT FUNDED — cash exhausted (BUY: 9.91× weekly, month 2.24×, ladder rising)"
2015-11-27,SASKEN,"fresh signal NOT FUNDED — cash exhausted (BUY: 7.71× weekly, month 2.81×, ladder rising)"
2015-11-30,GLOBUSSPR,"BUY ₹11.18 at ₹76.50 (fresh Friday signal — BUY: 29.71× weekly, month 8.18×, ladder rising; stop ₹48.23; charges ₹0.01)"
2015-11-30,TORNTPHARM,"SELL ₹9.82 at stop ₹1,426.04 (+14.6%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-12-04,BBL,"fresh signal NOT FUNDED — cash exhausted (BUY: 11.16× weekly, month 1.64×, ladder rising)"
2015-12-04,EMCO,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.42× weekly, month 2.00×, ladder rising)"
2015-12-04,FEDDERLOYD,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.81× weekly, month 2.08×, ladder rising)"
2015-12-04,GLOBUSSPR,RAISE STOP ₹48.23 → ₹65.41 (new box ₹71.50–₹91.80 sealed)
2015-12-04,GODFRYPHLP,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.10× weekly, month 10.79×, ladder rising)"
2015-12-04,JETAIRWAYS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.19× weekly, month 2.72×, ladder rising)"
2015-12-04,KOHINOOR,RAISE STOP ₹40.84 → ₹49.50 (new box ₹52.10–₹56.95 sealed)
2015-12-04,KOPRAN,"fresh signal NOT FUNDED — cash exhausted (BUY: 6.82× weekly, month 4.12×, ladder rising)"
2015-12-04,NECLIFE,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.86× weekly, month 2.02×, ladder rising)"
2015-12-04,ONELIFECAP,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.52× weekly, month 1.53×, ladder rising)"
2015-12-04,PETRONET,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.06× weekly, month 2.15×, ladder rising)"
2015-12-04,RADICO,RAISE STOP ₹93.88 → ₹100.09 (new box ₹107.15–₹130.70 sealed)
2015-12-04,RPGLIFE,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.20× weekly, month 3.10×, ladder rising)"
2015-12-04,SASKEN,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.15× weekly, month 2.73×, ladder rising)"
2015-12-04,SHALPAINTS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.25× weekly, month 2.02×, ladder rising)"
2015-12-04,TAJGVK,"fresh signal NOT FUNDED — cash exhausted (BUY: 6.85× weekly, month 2.14×, ladder rising)"
2015-12-07,EIHOTEL,"BUY ₹11.30 at ₹127.10 (fresh Friday signal — BUY: 18.40× weekly, month 2.70×, ladder rising; stop ₹101.65; charges ₹0.01)"
2015-12-09,GHCL,"SELL ₹12.60 at stop ₹129.53 (+7.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-12-09,RADICO,"SELL ₹9.14 at stop ₹100.09 (-17.8%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-12-11,APARINDS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.72× weekly, month 2.77×, ladder rising)"
2015-12-11,EIHOTEL,RAISE STOP ₹101.65 → ₹113.05 (new box ₹119.00–₹136.00 sealed)
