horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,HAVELLS,CONSUMER GOODS,2018,Mar 2018,487.85,19.5,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,UNITDSPR,,2019,Mar 2019,532.4,16.3,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,CHAMBLFERT,FERTILISERS & PESTICIDES,2021,Mar 2021,229.05,13.3,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,AMBER,,2018,Mar 2018,1069.4,11.3,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,PAGEIND,TEXTILES,2018,Mar 2018,22684.55,10.8,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,TEJASNET,,2018,Mar 2018,365.65,9.7,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,GPIL,,2021,Mar 2021,179.71,8.4,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,GALLANTT,,2018,Mar 2018,40.3,6.7,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,UNITDSPR,,2018,Mar 2018,625.93,3.9,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DALBHARAT,,2021,Mar 2021,1589.0,2.3,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,PCBL,,2018,Mar 2018,108.56,1.4,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DEEPAKNTR,CHEMICALS,2021,Mar 2021,1656.5,-4.9,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,NATCOPHARM,PHARMA,2018,Mar 2018,753.65,-5.7,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,ATGL,,2021,Mar 2021,961.25,-11.9,N
7y,FA > 25% YoY for 3 yrs,60.0,GRAVITA,,2019,Mar 2019,82.0,48.7,Y
7y,FA > 25% YoY for 3 yrs,60.0,UNOMINDA,,2019,Mar 2019,167.11,29.7,Y
7y,FA > 25% YoY for 3 yrs,60.0,INOXWIND,INDUSTRIAL MANUFACTURING,2018,Mar 2018,27.12,29.2,Y
7y,FA > 25% YoY for 3 yrs,60.0,UNOMINDA,,2018,Mar 2018,176.88,25.7,Y
7y,FA > 25% YoY for 3 yrs,60.0,PRESTIGE,CONSTRUCTION,2019,Mar 2019,250.7,23.9,Y
7y,FA > 25% YoY for 3 yrs,60.0,BRIGADE,CONSTRUCTION,2019,Mar 2019,161.83,22.0,Y
7y,FA > 25% YoY for 3 yrs,60.0,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,16.0,N
7y,FA > 25% YoY for 3 yrs,60.0,GLAXO,PHARMA,2018,Mar 2018,1043.88,15.6,N
7y,FA > 25% YoY for 3 yrs,60.0,BAJFINANCE,FINANCIAL SERVICES,2019,Mar 2019,299.58,15.1,N
7y,FA > 25% YoY for 3 yrs,60.0,GLAXO,PHARMA,2019,Mar 2019,1296.55,8.4,N
