nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
NMDC,74766.0,85.0,10.0,2026-08-02T12:14:21Z,ok
NSLNISP,12607.0,43.0,215.0,2026-08-02T12:14:21Z,ok
NTPCGREEN,75862.0,90.0,125.0,2026-08-02T12:14:21Z,ok
NTPC,336717.0,347.0,12.1,2026-08-02T12:14:21Z,ok
NH,41469.0,2029.0,48.1,2026-08-02T12:14:21Z,ok
NATIONALUM,64291.0,350.0,9.52,2026-08-02T12:14:21Z,ok
NAVA,15677.0,553.0,20.5,2026-08-02T12:14:21Z,ok
NAVINFLUOR,38826.0,7568.0,59.9,2026-08-02T12:14:21Z,ok
NESTLEIND,291098.0,1510.0,78.6,2026-08-02T12:14:21Z,ok
NETWEB,25760.0,4524.0,98.8,2026-08-02T12:14:21Z,ok
NEULANDLAB,24432.0,19043.0,67.7,2026-08-02T12:14:21Z,ok
NEWGEN,7919.0,556.0,23.1,2026-08-02T12:14:21Z,ok
NAM-INDIA,74248.0,1161.0,45.4,2026-08-02T12:14:21Z,ok
NIVABUPA,16090.0,87.0,92.3,2026-08-02T12:14:21Z,ok
NUVAMA,32937.0,1804.0,30.4,2026-08-02T12:14:21Z,ok
NUVOCO,12309.0,345.0,29.7,2026-08-02T12:14:21Z,ok
OBEROIRLTY,66456.0,1828.0,25.1,2026-08-02T12:14:21Z,ok
ONGC,305110.0,243.0,7.32,2026-08-02T12:14:21Z,ok
OIL,74596.0,459.0,11.3,2026-08-02T12:14:21Z,ok
OLAELEC,17893.0,38.7,,2026-08-02T12:14:21Z,ok
OLECTRA,10869.0,1324.0,61.2,2026-08-02T12:14:21Z,ok
PAYTM,86044.0,1343.0,106.0,2026-08-02T12:14:21Z,ok
ONESOURCE,18574.0,1620.0,,2026-08-02T12:14:21Z,ok
OFSS,97403.0,11186.0,28.5,2026-08-02T12:14:21Z,ok
POLICYBZR,74101.0,1602.0,111.0,2026-08-02T12:14:21Z,ok
PCBL,12508.0,318.0,47.3,2026-08-02T12:14:21Z,ok
