nse_symbol,year,line_item,parent_line_item,value
ABLBL,Mar 2025,Profit for PE,Net Profit,125.0
ABLBL,Mar 2026,Profit for PE,Net Profit,209.0
ABLBL,Mar 2025,Profit for EPS,Net Profit,60.0
ABLBL,Mar 2026,Profit for EPS,Net Profit,171.0
ABLBL,Mar 2025,Profit Growth %,Net Profit,
ABLBL,Mar 2026,Profit Growth %,Net Profit,68.0
ABREL,Mar 2017,Sales,,7645.0
ABREL,Mar 2018,Sales,,3898.0
ABREL,Mar 2019,Sales,,3944.0
ABREL,Mar 2020,Sales,,3423.0
ABREL,Mar 2021,Sales,,2617.0
ABREL,Mar 2022,Sales,,4131.0
ABREL,Mar 2023,Sales,,3832.0
ABREL,Mar 2024,Sales,,1101.0
ABREL,Mar 2025,Sales,,1219.0
ABREL,Mar 2026,Sales,,407.0
ABREL,Mar 2017,Expenses,,6721.0
ABREL,Mar 2018,Expenses,,3092.0
ABREL,Mar 2019,Expenses,,2992.0
ABREL,Mar 2020,Expenses,,2855.0
ABREL,Mar 2021,Expenses,,2393.0
ABREL,Mar 2022,Expenses,,3687.0
ABREL,Mar 2023,Expenses,,3265.0
ABREL,Mar 2024,Expenses,,879.0
ABREL,Mar 2025,Expenses,,1203.0
ABREL,Mar 2026,Expenses,,780.0
ABREL,Mar 2017,Operating Profit,,924.0
ABREL,Mar 2018,Operating Profit,,805.0
ABREL,Mar 2019,Operating Profit,,951.0
ABREL,Mar 2020,Operating Profit,,568.0
ABREL,Mar 2021,Operating Profit,,224.0
ABREL,Mar 2022,Operating Profit,,444.0
ABREL,Mar 2023,Operating Profit,,567.0
ABREL,Mar 2024,Operating Profit,,221.0
ABREL,Mar 2025,Operating Profit,,16.0
ABREL,Mar 2026,Operating Profit,,-372.0
ABREL,Mar 2017,OPM %,,12.0
ABREL,Mar 2018,OPM %,,21.0
ABREL,Mar 2019,OPM %,,24.0
ABREL,Mar 2020,OPM %,,17.0
ABREL,Mar 2021,OPM %,,9.0
ABREL,Mar 2022,OPM %,,11.0
ABREL,Mar 2023,OPM %,,15.0
ABREL,Mar 2024,OPM %,,20.0
ABREL,Mar 2025,OPM %,,1.0
ABREL,Mar 2026,OPM %,,-91.0
ABREL,Mar 2017,Other Income,,62.0
ABREL,Mar 2018,Other Income,,138.0
ABREL,Mar 2019,Other Income,,5673.0
ABREL,Mar 2020,Other Income,,14.0
ABREL,Mar 2021,Other Income,,43.0
ABREL,Mar 2022,Other Income,,51.0
ABREL,Mar 2023,Other Income,,101.0
ABREL,Mar 2024,Other Income,,-21.0
ABREL,Mar 2025,Other Income,,-94.0
ABREL,Mar 2026,Other Income,,250.0
ABREL,Mar 2017,Interest,,551.0
ABREL,Mar 2018,Interest,,212.0
ABREL,Mar 2019,Interest,,102.0
ABREL,Mar 2020,Interest,,87.0
ABREL,Mar 2021,Interest,,71.0
ABREL,Mar 2022,Interest,,52.0
ABREL,Mar 2023,Interest,,34.0
ABREL,Mar 2024,Interest,,30.0
ABREL,Mar 2025,Interest,,46.0
ABREL,Mar 2026,Interest,,64.0
ABREL,Mar 2017,Depreciation,,313.0
ABREL,Mar 2018,Depreciation,,199.0
ABREL,Mar 2019,Depreciation,,193.0
ABREL,Mar 2020,Depreciation,,229.0
ABREL,Mar 2021,Depreciation,,231.0
ABREL,Mar 2022,Depreciation,,231.0
ABREL,Mar 2023,Depreciation,,196.0
ABREL,Mar 2024,Depreciation,,59.0
ABREL,Mar 2025,Depreciation,,64.0
ABREL,Mar 2026,Depreciation,,68.0
ABREL,Mar 2017,Profit before tax,,122.0
ABREL,Mar 2018,Profit before tax,,532.0
ABREL,Mar 2019,Profit before tax,,6330.0
ABREL,Mar 2020,Profit before tax,,267.0
ABREL,Mar 2021,Profit before tax,,-35.0
ABREL,Mar 2022,Profit before tax,,212.0
ABREL,Mar 2023,Profit before tax,,437.0
ABREL,Mar 2024,Profit before tax,,112.0
ABREL,Mar 2025,Profit before tax,,-188.0
ABREL,Mar 2026,Profit before tax,,-254.0
ABREL,Mar 2017,Tax %,,14.0
ABREL,Mar 2018,Tax %,,30.0
ABREL,Mar 2019,Tax %,,4.0
ABREL,Mar 2020,Tax %,,-35.0
