nse_symbol,isin_source,name_source
MSUMI,groww_master,nifty500_master
MTARTECH,groww_master,groww_master
MUTHOOTFIN,groww_master,nifty500_master
NAM-INDIA,groww_master,nifty500_master
NATCOPHARM,groww_master,nifty500_master
NATIONALUM,groww_master,nifty500_master
NAUKRI,groww_master,nifty500_master
NAVA,groww_master,nifty500_master
NAVINFLUOR,groww_master,nifty500_master
NAZARA,groww_master,groww_master
NBCC,groww_master,nifty500_master
NCC,groww_master,nifty500_master
NEOGEN,groww_master,groww_master
NESCO,groww_master,groww_master
NESTLEIND,groww_master,nifty500_master
NETWEB,groww_master,nifty500_master
NETWORK18,groww_master,groww_master
NEULANDLAB,groww_master,nifty500_master
NEWGEN,groww_master,nifty500_master
NFL,groww_master,groww_master
NH,groww_master,nifty500_master
NHPC,groww_master,nifty500_master
NIACL,groww_master,nifty500_master
NIVABUPA,groww_master,nifty500_master
NLCINDIA,groww_master,nifty500_master
NMDC,groww_master,nifty500_master
NSLNISP,groww_master,nifty500_master
NTPC,groww_master,nifty500_master
NTPCGREEN,groww_master,nifty500_master
NUVAMA,groww_master,nifty500_master
NUVOCO,groww_master,nifty500_master
NYKAA,groww_master,nifty500_master
OBEROIRLTY,groww_master,nifty500_master
OFSS,groww_master,nifty500_master
OIL,groww_master,nifty500_master
OLAELEC,groww_master,nifty500_master
OLECTRA,groww_master,nifty500_master
ONESOURCE,groww_master,nifty500_master
ONGC,groww_master,nifty500_master
OPTIEMUS,groww_master,groww_master
ORIENTCEM,groww_master,groww_master
ORKLAINDIA,groww_master,groww_master
OSWALPUMPS,groww_master,groww_master
PAGEIND,groww_master,nifty500_master
PARADEEP,groww_master,nifty500_master
PARAS,groww_master,groww_master
PARKHOSPS,groww_master,groww_master
PATANJALI,groww_master,nifty500_master
PAYTM,groww_master,nifty500_master
PCBL,groww_master,nifty500_master
PCJEWELLER,groww_master,groww_master
PERSISTENT,groww_master,nifty500_master
PETRONET,groww_master,nifty500_master
PFC,groww_master,nifty500_master
PFIZER,groww_master,nifty500_master
PFOCUS,groww_master,groww_master
PGEL,groww_master,nifty500_master
PGIL,groww_master,groww_master
PHOENIXLTD,groww_master,nifty500_master
PICCADIL,groww_master,groww_master
PIDILITIND,groww_master,nifty500_master
PIIND,groww_master,nifty500_master
PINELABS,groww_master,nifty500_master
PIRAMALFIN,groww_master,nifty500_master
PNB,groww_master,nifty500_master
PNBHOUSING,groww_master,nifty500_master
PNCINFRA,groww_master,groww_master
PNGJL,groww_master,groww_master
POLICYBZR,groww_master,nifty500_master
POLYCAB,groww_master,nifty500_master
POLYMED,groww_master,nifty500_master
POONAWALLA,groww_master,nifty500_master
POWERGRID,groww_master,nifty500_master
POWERINDIA,groww_master,nifty500_master
POWERMECH,groww_master,groww_master
PPLPHARMA,groww_master,nifty500_master
PRAJIND,groww_master,groww_master
PREMIERENE,groww_master,nifty500_master
PRESTIGE,groww_master,nifty500_master
PRICOLLTD,groww_master,groww_master
PRIVISCL,groww_master,groww_master
PRSMJOHNSN,groww_master,groww_master
PRUDENT,groww_master,groww_master
PTC,groww_master,groww_master
PTCIL,groww_master,nifty500_master
PURVA,groww_master,groww_master
PVRINOX,groww_master,nifty500_master
PWL,groww_master,nifty500_master
QPOWER,groww_master,groww_master
