symbol,week_start,open,high,low,close,volume,days,complete
INDIASHLTR,2026-08-10,684.55,688.45,640.0,670.7,1264362,5,True
INDIASHLTR,2026-08-17,665.0,688.7,652.7,675.25,490496,5,True
INDIASHLTR,2026-08-24,675.25,680.45,646.1,649.85,400920,5,True
INDIASHLTR,2026-08-31,649.0,680.0,620.15,677.1,445740,5,True
INDIASHLTR,2026-09-07,677.1,678.9,647.0,652.25,492842,5,True
INDIGO,2026-03-09,4366.0,4512.8999,4130.0,4158.2002,6091583,3,True
INDIGO,2026-03-16,4105.0,4417.5,4093.8999,4149.1001,7765534,5,True
INDIGO,2026-03-23,4069.8,4317.8999,3895.2,4099.5,8972660,4,True
INDIGO,2026-03-30,4030.0,4332.7002,3930.6001,4193.5,9035305,3,True
INDIGO,2026-04-06,4180.0,4744.0,4087.3,4554.2002,12030085,5,True
INDIGO,2026-04-13,4330.0,4703.6001,4325.0,4638.3999,5522986,4,True
INDIGO,2026-04-20,4635.0,4748.2998,4507.0,4523.1001,4716439,5,True
INDIGO,2026-04-27,4522.2002,4584.2998,4172.7998,4295.2998,5801825,4,True
INDIGO,2026-05-04,4349.0,4565.6001,4196.2998,4522.7002,7497180,5,True
INDIGO,2026-05-11,4430.0,4432.2998,4146.2998,4314.8999,5025840,5,True
INDIGO,2026-05-18,4268.1001,4460.0,4178.0,4438.6001,4194335,5,True
INDIGO,2026-05-25,4524.1001,4593.2002,4381.2002,4405.0,5981395,5,True
INDIGO,2026-06-01,4525.0,4633.8999,4389.2002,4481.2998,4921589,5,True
INDIGO,2026-06-08,4424.8999,4725.0,4350.0,4709.7002,5498959,5,True
INDIGO,2026-06-15,4820.0,5035.0,4810.1001,5021.5,6286367,5,True
INDIGO,2026-06-22,5015.0,5464.8999,4945.8999,5450.0,8732133,5,True
INDIGO,2026-06-29,5400.8999,5476.5,5301.0,5426.5,6089330,5,True
INDIGO,2026-07-06,5413.0,5439.0,5094.0,5312.0,4477421,5,True
INDIGO,2026-07-13,5175.0,5307.0,5064.5,5248.5,4508484,5,True
INDIGO,2026-07-20,5189.5,5325.0,4886.0,4985.0,7795323,5,True
INDIGO,2026-07-27,5111.0,5300.0,5095.0,5171.0,3924407,5,True
INDIGO,2026-08-03,5300.0,5508.0,5276.0,5333.0,3580710,5,True
INDIGO,2026-08-10,5305.0,5370.0,5217.5,5310.0,1503448,5,True
INDIGO,2026-08-17,5271.0,5332.5,5055.5,5110.0,2744890,5,True
INDIGO,2026-08-24,5100.0,5280.0,5080.5,5166.0,2121488,5,True
INDIGO,2026-08-31,5130.0,5234.0,4908.5,4977.0,3981849,5,True
INDIGO,2026-09-07,4971.0,5022.5,4822.0,4973.0,2615888,4,True
INDIGOPNTS,2026-03-09,842.45,851.25,783.1,786.85,467180,3,True
INDIGOPNTS,2026-03-16,781.5,785.65,734.15,743.75,1397911,5,True
INDIGOPNTS,2026-03-23,738.0,776.0,711.0,730.8,980722,4,True
INDIGOPNTS,2026-03-30,723.95,785.0,708.05,767.6,467155,3,True
INDIGOPNTS,2026-04-06,767.6,835.7,750.3,810.9,727508,5,True
INDIGOPNTS,2026-04-13,800.0,852.0,775.0,838.0,421546,4,True
INDIGOPNTS,2026-04-20,831.0,896.0,822.05,860.05,593379,5,True
INDIGOPNTS,2026-04-27,860.2,883.0,840.05,860.2,357901,5,True
INDIGOPNTS,2026-05-04,862.0,980.0,840.7,974.15,896207,5,True
INDIGOPNTS,2026-05-11,969.95,1004.55,917.7,985.3,799739,5,True
INDIGOPNTS,2026-05-18,970.5,1008.85,932.05,1003.4,581614,5,True
INDIGOPNTS,2026-05-25,1003.4,1018.05,966.6,990.9,1300749,5,True
INDIGOPNTS,2026-06-01,990.9,1037.55,941.05,954.2,530399,5,True
INDIGOPNTS,2026-06-08,939.4,1007.0,922.0,995.2,401758,5,True
INDIGOPNTS,2026-06-15,1027.95,1040.0,997.9,1025.15,268356,5,True
INDIGOPNTS,2026-06-22,1018.5,1066.0,1000.05,1006.25,266896,5,True
INDIGOPNTS,2026-06-29,1005.1,1105.0,996.0,1065.9,760419,5,True
INDIGOPNTS,2026-07-06,1065.9,1112.1,1026.0,1052.4,443881,5,True
INDIGOPNTS,2026-07-13,1048.1,1090.0,1020.2,1065.1,318605,5,True
INDIGOPNTS,2026-07-20,1059.0,1092.0,1032.6,1048.9,185119,5,True
INDIGOPNTS,2026-07-27,1059.9,1124.7,1055.3,1111.8,357432,5,True
INDIGOPNTS,2026-08-03,1106.6,1133.8,1070.5,1120.5,241669,5,True
INDIGOPNTS,2026-08-10,1155.0,1220.9,1113.7,1148.7,2583026,5,True
INDIGOPNTS,2026-08-17,1161.7,1211.8,1120.8,1151.8,700495,5,True
INDIGOPNTS,2026-08-24,1149.0,1201.0,1125.0,1151.8,339570,5,True
INDIGOPNTS,2026-08-31,1145.2,1195.0,1127.4,1185.8,406543,5,True
INDIGOPNTS,2026-09-07,1172.0,1176.2,1059.3,1089.3,238310,4,True
INDUSINDBK,2026-03-09,897.2,907.5,804.8,814.4,15875761,3,True
INDUSINDBK,2026-03-16,814.55,847.9,806.2,818.6,24468957,5,True
INDUSINDBK,2026-03-23,806.3,834.3,771.7,792.55,23103684,4,True
INDUSINDBK,2026-03-30,781.0,793.65,750.5,778.7,13912125,3,True
INDUSINDBK,2026-04-06,774.6,840.85,756.4,830.9,11291159,5,True
INDUSINDBK,2026-04-13,807.1,857.45,800.7,853.9,10463449,4,True
INDUSINDBK,2026-04-20,853.9,873.0,839.0,847.95,8696182,5,True
INDUSINDBK,2026-04-27,865.2,925.0,865.2,916.05,23926617,5,True
INDUSINDBK,2026-05-04,925.25,957.9,903.0,950.75,10493450,5,True
INDUSINDBK,2026-05-11,939.0,940.9,881.95,886.4,7687291,5,True
INDUSINDBK,2026-05-18,885.75,914.5,870.2,910.15,8984136,5,True
INDUSINDBK,2026-05-25,920.15,940.2,910.35,914.35,7766935,5,True
INDUSINDBK,2026-06-01,917.75,925.9,884.05,904.8,9345138,5,True
INDUSINDBK,2026-06-08,881.0,928.0,881.0,917.35,9984537,5,True
INDUSINDBK,2026-06-15,926.0,953.5,920.2,947.45,13361128,5,True
INDUSINDBK,2026-06-22,947.0,947.0,900.15,918.95,7457527,5,True
INDUSINDBK,2026-06-29,918.95,978.4,908.1,974.35,13150438,5,True
INDUSINDBK,2026-07-06,968.0,1038.0,960.0,1015.8,17722046,5,True
INDUSINDBK,2026-07-13,1010.0,1031.2,992.0,1027.2,6074069,5,True
INDUSINDBK,2026-07-20,1029.0,1077.85,984.05,996.05,21380594,5,True
INDUSINDBK,2026-07-27,1003.0,1017.9,989.2,1012.45,9015019,5,True
INDUSINDBK,2026-08-03,1019.0,1038.0,1004.4,1022.0,5472236,5,True
INDUSINDBK,2026-08-10,1022.0,1028.0,1005.0,1020.8,5066885,5,True
INDUSINDBK,2026-08-17,1020.0,1020.0,997.0,1005.6,3982216,5,True
INDUSINDBK,2026-08-24,1005.1,1022.0,987.3,994.0,5688747,5,True
INDUSINDBK,2026-08-31,992.0,1016.6,963.3,1008.5,9173367,5,True
INDUSINDBK,2026-09-07,1004.1,1017.9,972.3,978.2,6947349,5,True
INDUSTOWER,2026-03-09,442.4,450.15,422.7,423.95,10692034,3,True
INDUSTOWER,2026-03-16,425.0,443.75,418.45,434.55,18347619,5,True
INDUSTOWER,2026-03-23,430.0,434.8,411.8,426.3,23025862,4,True
INDUSTOWER,2026-03-30,425.05,436.8,409.55,424.85,17120253,3,True
INDUSTOWER,2026-04-06,422.0,443.2,419.4,437.85,18472038,5,True
